trip_id,route_id,direction_id
6416301-51_R_98_5104_15:26-PROJET2025-51-Semaine-10,51,
6252448-11_R_97_1105_15:13-SETP2025-11-Semaine-37,11,
6413115-38_R_99_3803_15:47-SETP2025-38-Semaine-41,38,
6428466-61_A_50_6103_17:10-PROJET2025-61-Semaine-24,61,0
6369767-42_A_6_4202_17:15-PROJET2025-42-Semaine-83,42,0
6403288-36_A_49_3604_17:20-SETP2025-36-Semaine-33,36,0
6472666-50_A_50_5001_15:35-PROJET2025-50-Semaine-08,50,0
6416310-51_R_99_5103_16:23-PROJET2025-51-Semaine-10,51,1
6355801-18_R_99_1802_16:43-SETP2025-18-Semaine-39,18,1
6410645-64_A_50_6403_16:15-SETP2025-64-Semaine-37,64,0
6252991-14_A_50_1403_15:51-SETP2025-14-L-Ma-J-V-38,14,0
6257299-59_R_98_5901_16:08-PROJET2025-59-Semaine-26,59,1
4542704-44_A_50_4401_17:05-RESEAU2023-44-Semaine-89,44,0
6452874-T1_A_12_VT117_15:11-SETP2025-L1-Semaine-04,L1,0
5408575-82_R_99_8201_17:20-PROJET2024-82-Semaine-93,82,1
6420777-81_R_98_8102_15:20-SETP2025-81-Semaine-40,81,1
6253011-14_R_99_1406_16:40-SETP2025-14-L-Ma-J-V-38,14,1
6429240-15_R_99_1508_16:04-SETP2025-15-Semaine-11,15,1
6368806-09_R_99_0906_16:25-PROJET2025-09-Semaine-35,09,1
5925337-54_A_50_5401_19:47-PROJET2025-54-Semaine-17,54,0
6368788-09_R_99_0901_15:25-PROJET2025-09-Semaine-35,09,
4603458-83_A_47_8301_16:10-RESEAU2023-83-Semaine-03,83,0
6422648-99_A_50_9901_16:06-SETP2025-99-Semaine-11,99,0
6253022-14_A_50_1406_16:02-SETP2025-14-L-Ma-J-V-38,14,0
6419998-35_A_50_3502_14:44-SETP2025-35-Semaine-35,35,
4542754-44_R_99_4401_15:48-RESEAU2023-44-Semaine-89,44,1
6429217-15_A_50_1504_17:06-SETP2025-15-Semaine-11,15,0
6424145-16_R_97_1604_16:07-SETP2025-16-Semaine-35,16,1
5408584-82_A_50_8202_15:35-PROJET2024-82-Semaine-93,82,0
6416051-21_R_99_2106_17:06-SETP2025-21-Semaine-40,21,1
6369760-42_R_94_4202_16:10-PROJET2025-42-Semaine-83,42,1
6355797-18_R_99_1801_15:28-SETP2025-18-Semaine-39,18,1
6253062-14_A_50_1402_16:50-SETP2025-14-L-Ma-J-V-38,14,0
6355835-18_A_50_1801_14:33-SETP2025-18-Semaine-39,18,
5838888-22_R_95_2207_16:10-PROJET2025-22-Semaine-20,22,1
6414307-07_R_97_0701_15:31-SETP2025-07-L-Ma-J-V-41,07,
6252528-11_R_98_1102_15:37-SETP2025-11-Semaine-37,11,
6253044-14_R_99_1407_15:31-SETP2025-14-L-Ma-J-V-38,14,
6416036-21_R_99_2104_15:54-SETP2025-21-Semaine-40,21,1
6412295-71_R_99_7102_16:18-PROJET2025-71-Semaine-80,71,1
6424172-16_A_50_1603_15:23-SETP2025-16-Semaine-35,16,
6472668-50_A_50_5001_16:50-PROJET2025-50-Semaine-08,50,0
6409593-57_A_50_5713_14:54-SETP2025-57-Semaine-06,57,
