trip_id,route_id,direction_id
6452645-T1_R_57_VT115_15:48-SETP2025-L1-Semaine-04,L1,1
6140096-41_R_98_4102_18:33-PROJET2025-41-Semaine-05,41,1
6368781-09_A_50_0902_17:01-PROJET2025-09-Semaine-35,09,0
6416442-33_A_50_3305_16:10-SETP2025-33-L-Ma-J-V-36,33,
4542705-44_A_50_4401_17:20-RESEAU2023-44-Semaine-89,44,0
6252452-11_R_97_1101_16:25-SETP2025-11-Semaine-37,11,1
6355802-18_R_99_1807_17:43-SETP2025-18-Semaine-39,18,1
6420746-81_A_49_8103_16:15-SETP2025-81-Semaine-40,81,0
6416357-51_R_99_5101_15:50-PROJET2025-51-Semaine-10,51,
6368788-09_R_99_0901_15:25-PROJET2025-09-Semaine-35,09,
6369712-30_R_99_3002_16:04-SETP2025-30-Semaine-32,30,
6365977-20_A_50_2002_18:11-SETP2025-20-Semaine-42,20,0
6428466-61_A_50_6103_17:10-PROJET2025-61-Semaine-24,61,0
6409631-57_A_50_5713_17:18-SETP2025-57-Semaine-06,57,0
6429332-15_R_99_1503_17:28-SETP2025-15-Semaine-11,15,1
6102470-63_R_98_6305_17:20-PROJET2025-63-Semaine-72-1101100,63,1
6416038-21_R_99_2102_16:42-SETP2025-21-Semaine-40,21,1
6018947-55_R_98_5501_18:57-PROJET2025-55-Semaine-08,55,1
6411426-70_R_99_7001_18:30-SETP2025-70-Semaine-35,70,1
5408591-82_A_50_8203_19:10-PROJET2024-82-Semaine-93,82,0
6472711-50_A_50_5002_16:25-PROJET2025-50-Semaine-08,50,0
4523358-88_A_49_8802_16:40-RESEAU2023-88-Semaine-83-1101100,88,0
6369761-42_R_94_4203_16:40-PROJET2025-42-Semaine-83,42,1
6414757-34_A_31_3401_16:57-PROJET2025-34-L-Ma-J-V-20,34,0
6369760-42_R_94_4202_16:10-PROJET2025-42-Semaine-83,42,
6414770-34_A_25_3401_15:51-PROJET2025-34-L-Ma-J-V-20,34,
6452754-T1_A_12_VT104_15:49-SETP2025-L1-Semaine-04,L1,0
4759157-47_R_99_4702_18:16-PROJET2023-47-Semaine-10,47,1
6472667-50_R_99_5001_16:08-PROJET2025-50-Semaine-08,50,
6446621-05_R_50_0506_17:53-SETP2025-05-L-Ma-J-V-38,05,1
6366021-20_A_50_2005_15:46-SETP2025-20-Semaine-42,20,
6102469-63_R_98_6303_17:05-PROJET2025-63-Semaine-72-1101100,63,1
6218537-84_A_46_8401_17:20-PROJET2025-84-Semaine-04,84,0
6253063-14_A_50_1408_17:52-SETP2025-14-L-Ma-J-V-38,14,0
6102509-63_A_48_6303_17:50-PROJET2025-63-Semaine-72-1101100,63,0
6257304-59_R_96_5905_16:56-PROJET2025-59-Semaine-26,59,1
6170440-L2_R_98__15:50-JANV2025-L2-Semaine-09,L2,1
5203657-68_R_99_6804_19:50-PROJET2024-68-Semaine-15,68,1
6414319-07_A_49_0705_15:43-SETP2025-07-L-Ma-J-V-41,07,
6327143-17_A_50_1707_16:01-SETP2025-17-L-Ma-J-V-35,17,
6368780-09_A_50_0901_16:31-PROJET2025-09-Semaine-35,09,
5673224-NVN1_R_98_NVN102_17:30-PROJET2024-NVence1-Semaine-15,NVN1,1
6102465-63_R_98_6305_15:40-PROJET2025-63-Semaine-72-1101100,63,
6252502-11_A_49_1104_16:59-SETP2025-11-Semaine-37,11,0
6257316-59_A_45_5905_18:00-PROJET2025-59-Semaine-26,59,0
6252459-11_R_98_1107_17:38-SETP2025-11-Semaine-37,11,1
6428450-61_R_99_6104_15:40-PROJET2025-61-Semaine-24,61,
6369836-49_R_98_4901_16:50-PROJET2025-49-Semaine-08,chouette:Line:07759d26-564a-4043-bd2d-d1e0c98d686c:LOC,1
6410645-64_A_50_6403_16:15-SETP2025-64-Semaine-37,64,
6368793-09_R_98_0902_18:14-PROJET2025-09-Semaine-35,09,1
6252528-11_R_98_1102_15:37-SETP2025-11-Semaine-37,11,
6369769-42_A_6_4203_15:45-PROJET2025-42-Semaine-83,42,
6257284-59_R_98_5904_15:44-PROJET2025-59-Semaine-26,59,1
6170453-L2_R_98__15:58-JANV2025-L2-Semaine-09,L2,1
5838904-22_A_45_2209_18:10-PROJET2025-22-Semaine-20,22,0
6429217-15_A_50_1504_17:06-SETP2025-15-Semaine-11,15,0
5341002-72_R_98_7201_16:25-PROJET2024-72-Semaine-74,72,1
4542701-44_A_50_4401_16:20-RESEAU2023-44-Semaine-89,44,
6167197-90_R_7_9002_15:30-PROJET2025-90-Semaine-21,90,1
6327229-17_A_50_1707_17:42-SETP2025-17-L-Ma-J-V-35,17,0
5838879-22_A_45_2210_16:00-PROJET2025-22-Semaine-20,22,
6261677-73_A_1_7301_17:56-PROJET2025-73-Semaine-16,73,0
6428355-60_A_50_6001_18:10-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,0
6412110-37_R_99_3702_15:58-SETP2025-37-Semaine-37,37,
6446571-05_A_98_0508_16:37-SETP2025-05-L-Ma-J-V-38,05,0
6420005-35_A_49_3504_17:30-SETP2025-35-Semaine-35,35,0
6018942-55_A_48_5501_16:16-PROJET2025-55-Semaine-08,55,
6253081-14_A_50_1405_17:02-SETP2025-14-L-Ma-J-V-38,14,0
6365952-20_R_99_2002_16:01-SETP2025-20-Semaine-42,20,
6261681-73_A_1_7301_19:40-PROJET2025-73-Semaine-16,73,0
6102503-63_A_48_6301_15:35-PROJET2025-63-Semaine-72-1101100,63,
4350595-40_R_99_4001_16:10-RESEAU2023-40-Semaine-04,40,
6414296-07_R_97_0711_16:23-SETP2025-07-L-Ma-J-V-41,07,
6412113-37_R_99_3701_17:56-SETP2025-37-Semaine-37,37,1
6253045-14_R_99_1408_17:05-SETP2025-14-L-Ma-J-V-38,14,1
5673246-NVN1_A_48_NVN101_17:30-PROJET2024-NVence1-Semaine-15,NVN1,0
6414320-07_A_49_0703_15:53-SETP2025-07-L-Ma-J-V-41,07,
6409636-57_R_99_5711_15:40-SETP2025-57-Semaine-06,57,
6368791-09_R_98_0905_17:10-PROJET2025-09-Semaine-35,09,1
6414312-07_R_97_0706_16:14-SETP2025-07-L-Ma-J-V-41,07,
6412291-71_A_50_7102_16:00-PROJET2025-71-Semaine-80,71,0
6424144-16_R_97_1601_16:22-SETP2025-16-Semaine-35,16,
6414299-07_R_97_0709_17:00-SETP2025-07-L-Ma-J-V-41,07,1
6413118-38_A_50_3801_15:55-SETP2025-38-Semaine-41,38,
6368806-09_R_99_0906_16:25-PROJET2025-09-Semaine-35,09,
6077796-58_A_49_5801_17:50-PROJET2025-58-Semaine-06,58,0
6261686-73_A_1_7302_16:56-PROJET2025-73-Semaine-16,73,0
6414323-07_A_49_0704_16:26-SETP2025-07-L-Ma-J-V-41,07,0
6369716-30_A_50_3001_17:31-SETP2025-30-Semaine-32,30,0
6428325-60_A_50_6003_16:50-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,0
6411450-70_A_50_7001_17:00-SETP2025-70-Semaine-35,70,0
6462562-31_R_97_3101_17:57-PROJET2025-31-Semaine-08,31,1
6424164-16_A_50_1603_17:40-SETP2025-16-Semaine-35,16,0
6409647-57_R_99_5704_18:00-SETP2025-57-Semaine-06,57,1
6402575-32_A_48_3202_17:37-SETP2025-32-Semaine-34,32,0
4669817-62_R_98_6201_17:35-RESEAU2023-62-Semaine-17,62,1
6452820-T1_A_12_VT110_16:13-SETP2025-L1-Semaine-04,L1,0
6253034-14_A_50_1408_16:26-SETP2025-14-L-Ma-J-V-38,14,
6170467-L2_A_49__16:00-JANV2025-L2-Semaine-09,L2,0
6424146-16_R_97_1602_16:51-SETP2025-16-Semaine-35,16,1
6252531-11_A_49_1107_16:47-SETP2025-11-Semaine-37,11,0
6355797-18_R_99_1801_15:28-SETP2025-18-Semaine-39,18,
6005375-B_R_99_VTB02_16:28-JANV2025-B-Semaine-03,B,1
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,1
6252498-11_A_50_1105_16:00-SETP2025-11-Semaine-37,11,
6422655-99_A_50_9901_17:42-SETP2025-99-Semaine-11,99,0
4542704-44_A_50_4401_17:05-RESEAU2023-44-Semaine-89,44,0
6402553-32_R_97_3201_17:04-SETP2025-32-Semaine-34,32,1
6413128-38_A_50_3805_17:51-SETP2025-38-Semaine-41,38,0
6218523-84_A_50_8401_15:55-PROJET2025-84-Semaine-04,84,
6105153-76_R_97_7602_18:55-PROJET2025-76-Semaine-89,76,1
6077778-58_A_50_5802_18:29-PROJET2025-58-Semaine-06,58,0
6412114-37_R_99_3702_18:30-SETP2025-37-Semaine-37,37,1
6355838-18_A_50_1805_15:24-SETP2025-18-Semaine-39,18,
6414321-07_A_49_0709_16:00-SETP2025-07-L-Ma-J-V-41,07,
6368782-09_A_50_0906_17:35-PROJET2025-09-Semaine-35,09,0
4523356-88_R_98_8801_18:35-RESEAU2023-88-Semaine-83-1101100,88,1
6252967-14_R_99_1404_15:53-SETP2025-14-L-Ma-J-V-38,14,
6420780-81_R_98_8102_16:34-SETP2025-81-Semaine-40,81,1
6420750-81_A_49_8101_18:07-SETP2025-81-Semaine-40,81,0
5203740-68_A_50_6804_19:20-PROJET2024-68-Semaine-15,68,0
6257285-59_A_45_5901_17:13-PROJET2025-59-Semaine-26,59,0
6428297-60_A_50_6001_17:10-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,0
6416336-51_A_49_5102_16:18-PROJET2025-51-Semaine-10,51,
6327146-17_A_50_1701_17:12-SETP2025-17-L-Ma-J-V-35,17,0
6402569-32_A_48_3202_17:50-SETP2025-32-Semaine-34,32,0
5839185-Exp4_R_99_EXP402_18:35-PROJET2025-Exp4-Semaine-04,Exp4,1
6403281-36_A_49_3603_16:45-SETP2025-36-Semaine-33,36,0
4603462-83_R_1_8301_17:55-RESEAU2023-83-Semaine-03,83,1
6424149-16_R_97_1602_18:08-SETP2025-16-Semaine-35,16,1
6446573-05_A_98_0503_16:54-SETP2025-05-L-Ma-J-V-38,05,0
6446420-05_A_99_05S1_17:46-SETP2025-05-L-Ma-J-V-38,05,0
4542761-44_R_99_4401_16:43-RESEAU2023-44-Semaine-89,44,1
6170384-L2_A_49__16:31-JANV2025-L2-Semaine-09,L2,0
6402552-32_A_48_3202_16:59-SETP2025-32-Semaine-34,32,0
6368808-09_R_99_0908_17:26-PROJET2025-09-Semaine-35,09,1
6416491-33_R_99_3303_15:58-SETP2025-33-L-Ma-J-V-36,33,
6170638-L3_R_97__16:18-JANV2025-L3-Semaine-09,L3,1
5097927-69_R_95_6901_19:55-PROJET2023-69-Semaine-15,69,1
6257344-59_R_96_5902_15:20-PROJET2025-59-Semaine-26,59,1
6005404-B_A_50_VTB01_16:30-JANV2025-B-Semaine-03,B,0
6369713-30_R_99_3003_16:28-SETP2025-30-Semaine-32,30,1
6420745-81_A_49_8102_16:05-SETP2025-81-Semaine-40,81,0
6414781-34_A_9_3402_16:50-PROJET2025-34-L-Ma-J-V-20,34,
6422650-99_A_50_9901_16:38-SETP2025-99-Semaine-11,99,0
6403263-36_R_99_3603_16:12-SETP2025-36-Semaine-33,36,
5203741-68_R_99_6804_18:50-PROJET2024-68-Semaine-15,68,1
6452880-T1_A_12_VT114_16:29-SETP2025-L1-Semaine-04,L1,0
6102510-63_A_48_6305_18:10-PROJET2025-63-Semaine-72-1101100,63,0
6365964-20_A_50_2002_16:38-SETP2025-20-Semaine-42,20,0
5838903-22_A_45_2210_17:50-PROJET2025-22-Semaine-20,22,0
6355913-18_R_99_1803_17:13-SETP2025-18-Semaine-39,18,1
6414335-07_R_97_0706_18:00-SETP2025-07-L-Ma-J-V-41,07,1
5341004-72_R_98_7201_17:25-PROJET2024-72-Semaine-74,72,1
6355917-18_A_50_1808_16:57-SETP2025-18-Semaine-39,18,0
6170341-L2_R_98__16:22-JANV2025-L2-Semaine-09,L2,1
6422662-99_A_50_9902_17:58-SETP2025-99-Semaine-11,99,0
5838902-22_A_45_2212_17:30-PROJET2025-22-Semaine-20,22,0
6416311-51_A_49_5104_16:06-PROJET2025-51-Semaine-10,51,
6428296-60_R_99_6003_16:20-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,
6428471-61_R_99_6103_18:00-PROJET2025-61-Semaine-24,61,1
6420112-85_A_48_8501_17:10-PROJET2025-85-Semaine-06-1101100,85,0
6409642-57_R_99_5712_16:54-SETP2025-57-Semaine-06,57,1
5203732-68_A_50_6805_17:00-PROJET2024-68-Semaine-15,68,0
5838474-52_A_6_5201_18:10-PROJET2025-52-Semaine-20,52,0
6420783-81_R_98_8102_17:44-SETP2025-81-Semaine-40,81,1
6428463-61_A_50_6105_17:30-PROJET2025-61-Semaine-24,61,0
6409646-57_R_99_5706_17:46-SETP2025-57-Semaine-06,57,1
6420782-81_R_98_8101_17:17-SETP2025-81-Semaine-40,81,1
6355841-18_A_50_1801_16:21-SETP2025-18-Semaine-39,18,0
6327142-17_A_50_1705_16:28-SETP2025-17-L-Ma-J-V-35,17,0
5422170-75_A_49_7501_15:55-PROJET2024-75-Semaine-86-1101100,75,
