trip_id,stop_sequence,stop_id,arrival_time,departure_time
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,0,2968,,1757413500
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,1,5246,1757413792,1757413792
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,2,5073,1757413920,1757413920
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,3,5087,1757414025,1757414025
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,4,4105,1757414170,1757414170
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,5,4159,,1757414224
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,6,4102,1757414303,1757414303
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,7,4098,1757414400,1757414400
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,8,4109,1757414476,1757414476
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,9,4061,1757414566,1757414566
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,10,4138,1757414667,1757414667
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,11,4144,,1757414760
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,12,4001,1757414845,1757414845
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,13,4003,1757414905,1757414905
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,14,4304,,1757414944
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,15,4029,1757414991,1757414991
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,16,4023,1757415187,1757415187
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,17,4063,1757415268,1757415268
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,18,4270,1757415343,1757415343
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,19,4269,1757415441,1757415441
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,20,4272,1757415600,1757415600
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,21,3076,1757415943,1757415943
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,22,3022,1757415990,1757415990
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,23,3254,1757416022,1757416022
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,24,3238,1757416069,1757416069
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,25,3233,1757416210,1757416210
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,26,3059,1757416241,1757416241
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,27,3146,1757416260,
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,15,894,1757411001,1757411001
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,16,38,,1757411013
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,17,284,1757411249,1757411249
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,18,1570,1757411294,1757411294
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,19,472,1757411350,1757411350
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,20,616,1757411406,1757411406
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,21,747,1757411492,1757411492
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,22,183,1757411604,1757411604
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,23,602,1757411635,1757411635
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,24,1525,1757411724,1757411724
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,25,346,1757411759,1757411759
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,26,2712,1757411818,
6170337-L2_R_98__11:40-JANV2025-L2-Semaine-09,3,2607,1757410959,1757411017
6170337-L2_R_98__11:40-JANV2025-L2-Semaine-09,4,2609,1757411100,1757411100
6170337-L2_R_98__11:40-JANV2025-L2-Semaine-09,5,2774,1757411220,1757411220
6170337-L2_R_98__11:40-JANV2025-L2-Semaine-09,6,2613,1757411280,1757411280
6170337-L2_R_98__11:40-JANV2025-L2-Semaine-09,7,2615,1757411400,1757411400
6170337-L2_R_98__11:40-JANV2025-L2-Semaine-09,8,2617,1757411556,1757411556
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,0,8148,,1757415300
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,1,8124,1757415330,1757415330
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,2,8095,1757415403,1757415403
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,3,8138,1757415443,1757415443
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,4,8090,1757415503,1757415503
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,5,8144,1757415598,1757415598
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,7,8070,1757415716,1757415716
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,8,8172,1757415768,1757415768
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,9,8069,1757415816,1757415816
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,10,8127,1757415888,1757415888
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,11,8001,1757415965,1757415965
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,12,8160,1757416037,1757416037
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,13,8107,1757416173,1757416173
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,14,8072,1757416244,1757416244
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,15,8129,1757416320,1757416320
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,16,8156,1757416364,1757416364
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,17,789,1757416498,1757416498
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,18,97,1757416545,1757416545
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,19,512,1757416620,1757416620
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,20,887,1757416717,1757416717
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,21,769,1757416824,1757416824
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,22,704,1757416853,1757416853
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,23,1181,1757416904,1757416904
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,24,1020,1757416938,1757416938
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,25,498,1757416981,1757416981
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,26,179,1757417046,1757417046
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,29,2581,1757417460,
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,0,2962,,1757413140
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,1,5246,1757413530,1757413530
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,2,5020,1757413716,1757413716
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,3,5054,1757413799,1757413799
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,4,5221,1757413921,1757413921
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,5,21543,1757414040,1757414040
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,6,5250,1757414112,1757414112
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,7,5251,1757414340,1757414340
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,8,5069,1757414393,1757414393
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,9,5150,1757414440,1757414440
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,10,5115,1757414473,1757414473
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,11,5245,1757414520,1757414520
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,12,5025,1757414611,1757414611
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,13,5046,1757414714,1757414714
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,14,5082,1757414791,1757414791
