trip_id,stop_sequence,stop_id,arrival_time,departure_time
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,0,8003,,1757406360
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,1,8070,1757406445,1757406445
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,2,8056,1757406540,1757406540
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,3,8181,1757406588,1757406588
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,4,8255,1757406631,1757406631
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,5,8176,1757406641,1757406641
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,6,8179,1757406693,1757406693
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,7,8203,1757406773,1757406773
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,8,8224,1757406836,1757406836
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,9,8225,1757406900,1757406900
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,10,8082,1757407001,1757407001
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,11,8097,1757407052,1757407052
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,12,8079,1757407122,1757407122
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,13,8083,1757407166,1757407166
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,14,8029,1757407200,1757407200
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,15,8094,1757407276,1757407276
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,16,8064,1757407341,1757407341
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,17,8134,1757407389,1757407389
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,18,8151,1757407407,1757407407
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,19,8077,1757407464,1757407464
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,20,8031,1757407500,1757407500
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,21,619,1757407842,1757407842
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,22,989,1757407913,1757407913
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,23,7126,1757407967,1757407967
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,24,7115,1757408078,1757408078
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,25,7171,1757408121,1757408121
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,26,1195,1757408221,1757408221
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,27,1183,1757408230,1757408230
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,28,567,1757408296,1757408296
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,29,1231,1757408365,1757408365
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,30,1403,1757408375,1757408375
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,31,927,1757408395,1757408395
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,32,182,1757408404,1757408404
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,33,74,1757408432,1757408432
6218560-84_R_95_8401_10:26-PROJET2025-84-Semaine-04,34,330,1757408461,1757408461
