trip_id,route_id,direction_id
5340987-72_R_98_7201_10:00-PROJET2024-72-Semaine-74,72,1
6413100-38_R_99_3804_11:12-SETP2025-38-Semaine-41,38,1
5838478-52_R_5_5201_08:55-PROJET2025-52-Semaine-20,52,
6369680-30_A_50_3001_10:46-SETP2025-30-Semaine-32,30,0
6420137-85_A_48_8501_12:25-PROJET2025-85-Mercredi-06,85,0
6462509-31_R_97_3101_09:45-PROJET2025-31-Semaine-08,31,1
6446859-05_A_98_0507_10:17-SETP2025-05-Mercredi-38,05,0
6446883-05_R_49_0508_09:04-SETP2025-05-Mercredi-38,05,
5759383-NVN2_A_50_NVN201_09:40-PROJET2024-NVence2-Semaine-12,NVN2,0
5925339-54_R_99_5403_09:09-PROJET2025-54-Semaine-17,54,
6355777-18_R_99_1802_09:36-SETP2025-18-Semaine-39,18,
6369681-30_A_50_3002_11:08-SETP2025-30-Semaine-32,30,0
5340956-72_A_50_7201_09:30-PROJET2024-72-Semaine-74,72,
6428416-61_R_99_6103_09:40-PROJET2025-61-Semaine-24,61,1
4515182-80_A_46_8001_10:44-RESEAU2023-80-Semaine-94,80,0
6409604-57_R_99_5706_10:55-SETP2025-57-Semaine-06,57,1
6428340-60_R_99_6001_10:40-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,1
6412269-71_R_99_7101_11:47-PROJET2025-71-Semaine-80,71,1
6443643-07_R_97_0702_10:03-SETP2025-07-Mercredi-41,07,1
6422630-99_A_50_9901_10:50-SETP2025-99-Semaine-11,99,0
6369674-30_A_50_3002_10:02-SETP2025-30-Semaine-32,30,0
6411410-70_R_99_7001_10:30-SETP2025-70-Semaine-35,70,1
6416289-51_R_98_5104_10:40-PROJET2025-51-Semaine-10,51,1
6218545-84_R_99_8402_10:01-PROJET2025-84-Semaine-04,84,1
6472700-50_R_99_5002_09:44-PROJET2025-50-Semaine-08,50,1
4759182-47_R_99_4701_11:45-PROJET2023-47-Semaine-11,47,1
6444333-33_A_50_3302_09:37-SETP2025-33-Mercredi-36,33,0
5925315-54_A_50_5402_09:27-PROJET2025-54-Semaine-17,54,0
6365939-20_R_99_2005_09:59-SETP2025-20-Semaine-42,20,1
6416027-21_R_99_2101_11:18-SETP2025-21-Semaine-40,21,1
4350560-40_R_99_4001_09:00-RESEAU2023-40-Semaine-04,40,1
5989102-75_A_49_7501_12:25-PROJET2024-75-Mercredi-87,75,0
6428420-61_R_99_6102_10:20-PROJET2025-61-Semaine-24,61,1
6412267-71_A_50_7101_10:45-PROJET2025-71-Semaine-80,71,0
6444397-33_R_99_3303_10:00-SETP2025-33-Mercredi-36,33,1
6416284-51_R_98_5101_10:59-PROJET2025-51-Semaine-10,51,1
4669785-62_A_46_6202_10:35-RESEAU2023-62-Semaine-17,62,0
6413104-38_A_50_3804_10:32-SETP2025-38-Semaine-41,38,0
6368863-09_R_99_0901_11:25-PROJET2025-09-Semaine-35,09,1
6218529-84_A_46_8402_09:20-PROJET2025-84-Semaine-04,84,
6140102-41_R_98_4102_09:25-PROJET2025-41-Semaine-05,41,1
6428419-61_A_50_6105_10:50-PROJET2025-61-Semaine-24,61,0
6409603-57_R_99_5714_10:40-SETP2025-57-Semaine-06,57,1
6452846-T1_A_12_VT114_09:03-SETP2025-L1-Semaine-04,L1,0
4350577-40_A_50_4001_09:21-RESEAU2023-40-Semaine-04,40,0
6257190-63_R_98_6301_11:20-PROJET2025-63-Mercredi-73,63,1
6412263-71_A_50_7101_10:05-PROJET2025-71-Semaine-80,71,0
6414853-34_A_21_3401_10:05-PROJET2025-34-Mercredi-20,34,0
5838465-52_A_6_5202_09:00-PROJET2025-52-Semaine-20,52,
6402475-32_A_48_3201_10:00-SETP2025-32-Semaine-34,32,0
6005487-B_A_50_VTB04_09:20-JANV2025-B-Semaine-03,B,0
6416288-51_R_98_5101_09:48-PROJET2025-51-Semaine-10,51,1
6368859-09_R_99_0908_09:25-PROJET2025-09-Semaine-35,09,
5989087-75_R_97_7501_10:30-PROJET2024-75-Mercredi-87,75,1
6419987-35_R_98_3504_12:00-SETP2025-35-Semaine-35,35,1
6369777-42_A_5_4201_11:13-PROJET2025-42-Semaine-83,42,0
6252513-11_A_49_1104_08:58-SETP2025-11-Semaine-37,11,
4669762-62_R_98_6202_09:55-RESEAU2023-62-Semaine-17,62,1
6252426-11_R_97_1102_10:49-SETP2025-11-Semaine-37,11,1
6443618-07_A_49_0708_09:40-SETP2025-07-Mercredi-41,07,0
6411435-70_A_50_7002_09:30-SETP2025-70-Semaine-35,70,
6368843-09_A_50_0908_10:30-PROJET2025-09-Semaine-35,09,0
6369679-30_R_99_3001_10:12-SETP2025-30-Semaine-32,30,1
5925299-54_R_99_5402_10:10-PROJET2025-54-Semaine-17,54,1
5838480-52_R_5_5201_10:55-PROJET2025-52-Semaine-20,52,1
5203688-68_A_50_6803_10:44-PROJET2024-68-Semaine-15,68,0
4759179-47_R_99_4702_08:42-PROJET2023-47-Semaine-11,47,1
6368862-09_R_99_0905_10:55-PROJET2025-09-Semaine-35,09,1
5909221-NVN3_A_90_NVN301_08:45-PROJET2025-NVence3-Semaine-12,NVN3,
6462506-31_A_47_3101_09:20-PROJET2025-31-Semaine-08,31,
6413102-38_R_99_3802_10:26-SETP2025-38-Semaine-41,38,1
6365926-20_A_50_2002_10:11-SETP2025-20-Semaine-42,20,0
5925308-54_R_98_5401_09:37-PROJET2025-54-Semaine-17,54,1
6403256-36_R_99_3602_09:55-SETP2025-36-Semaine-33,36,1
4669765-62_R_98_6204_09:10-RESEAU2023-62-Semaine-17,62,
6452963-T1_R_57_VT121_08:47-SETP2025-L1-Semaine-04,L1,1
6422628-99_A_50_9901_09:30-SETP2025-99-Semaine-11,99,0
6105241-76_R_98_7602_10:50-PROJET2025-76-Semaine-90,76,1
4601784-44_R_99_4401_10:28-RESEAU2023-44-Semaine-88,44,1
6402507-32_A_48_3201_11:01-SETP2025-32-Semaine-34,32,0
6444287-17_R_99_1706_09:46-SETP2025-17-Mercredi-35,17,1
6412098-37_R_99_3702_09:19-SETP2025-37-Semaine-37,37,
5203694-68_R_99_6803_10:13-PROJET2024-68-Semaine-15,68,1
