trip_id,route_id,direction_id
6368865-09_R_99_0906_12:25-PROJET2025-09-Semaine-35,09,1
6327197-17_R_99_1707_11:27-SETP2025-17-L-Ma-J-V-35,17,
6170337-L2_R_98__11:40-JANV2025-L2-Semaine-09,L2,1
6429238-15_R_99_1508_12:55-SETP2025-15-Semaine-11,15,1
6366017-20_A_50_2003_12:19-SETP2025-20-Semaine-42,20,0
6409609-57_R_99_5712_12:10-SETP2025-57-Semaine-06,57,1
6472682-50_R_99_5003_11:46-PROJET2025-50-Semaine-08,50,
6452731-T1_A_12_VT106_11:29-SETP2025-L1-Semaine-04,L1,0
6420002-35_A_50_3501_13:38-SETP2025-35-Semaine-35,35,0
6428433-61_R_99_6103_13:00-PROJET2025-61-Semaine-24,61,1
4542688-44_A_50_4401_12:45-RESEAU2023-44-Semaine-89,44,0
6252475-11_A_50_1102_11:36-SETP2025-11-Semaine-37,11,
6412105-37_R_99_3701_13:13-SETP2025-37-Semaine-37,37,1
6105164-76_A_50_7602_13:05-PROJET2025-76-Semaine-89,76,0
6368819-09_A_49_0904_13:00-PROJET2025-09-Semaine-35,09,0
6446516-05_R_50_0508_12:40-SETP2025-05-L-Ma-J-V-38,05,1
6167196-90_R_7_9001_10:30-PROJET2025-90-Semaine-21,90,1
6414774-34_R_24_3401_11:33-PROJET2025-34-L-Ma-J-V-20,34,
5408580-82_R_99_8202_12:20-PROJET2024-82-Semaine-93,82,1
6327187-17_R_99_1705_13:10-SETP2025-17-L-Ma-J-V-35,17,1
6252942-14_A_50_1408_11:22-SETP2025-14-L-Ma-J-V-38,14,
6452605-T1_R_57_VT118_11:31-SETP2025-L1-Semaine-04,L1,1
4603449-83_R_1_8301_12:55-RESEAU2023-83-Semaine-03,83,1
6261657-73_R_95_7302_10:03-PROJET2025-73-Semaine-16,73,1
6402521-32_R_97_3202_12:01-SETP2025-32-Semaine-34,32,1
6369832-49_R_95_4901_08:10-PROJET2025-49-Semaine-08,chouette:Line:07759d26-564a-4043-bd2d-d1e0c98d686c:LOC,
6327190-17_R_99_1701_13:36-SETP2025-17-L-Ma-J-V-35,17,1
6005530-B_A_50_VTB02_12:10-JANV2025-B-Semaine-03,B,0
6102497-63_A_48_6302_13:30-PROJET2025-63-Semaine-72-1101100,63,0
6428430-61_R_99_6102_12:00-PROJET2025-61-Semaine-24,61,1
6414767-34_A_26_3401_12:10-PROJET2025-34-L-Ma-J-V-20,34,0
4350585-40_A_50_4001_13:23-RESEAU2023-40-Semaine-04,40,0
6005494-B_R_99_VTB04_11:37-JANV2025-B-Semaine-03,B,1
6018961-55_R_98_5502_14:35-PROJET2025-55-Semaine-08,55,1
6414250-07_A_49_0705_12:38-SETP2025-07-L-Ma-J-V-41,07,0
4603451-83_A_47_8301_13:50-RESEAU2023-83-Semaine-03,83,
6414282-07_R_97_0708_13:31-SETP2025-07-L-Ma-J-V-41,07,1
6412280-71_A_50_7101_14:20-PROJET2025-71-Semaine-80,71,0
6416364-51_A_49_5105_11:56-PROJET2025-51-Semaine-10,51,0
6261674-73_A_1_7301_11:34-PROJET2025-73-Semaine-16,73,0
6261659-73_R_95_7302_11:30-PROJET2025-73-Semaine-16,73,
6369774-42_A_5_4201_12:57-PROJET2025-42-Semaine-83,42,0
6077789-58_R_99_5801_12:58-PROJET2025-58-Semaine-06,58,1
6355787-18_R_99_1804_12:35-SETP2025-18-Semaine-39,18,1
6446523-05_A_99_0505_11:38-SETP2025-05-L-Ma-J-V-38,05,
6412125-37_A_50_3701_12:42-SETP2025-37-Semaine-37,37,0
6355828-18_A_50_1803_12:34-SETP2025-18-Semaine-39,18,0
5203679-68_A_50_6801_11:24-PROJET2024-68-Semaine-15,68,
6413131-38_R_99_3805_11:35-SETP2025-38-Semaine-41,38,
6170377-L2_A_49__11:24-JANV2025-L2-Semaine-09,L2,0
6416467-33_R_99_3301_12:42-SETP2025-33-L-Ma-J-V-36,33,1
6252480-11_A_50_1101_12:24-SETP2025-11-Semaine-37,11,0
