trip_id,stop_sequence,stop_id,arrival_time,departure_time
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,11,4149,,1757489820
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,12,4113,1757489937,1757489937
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,13,4121,1757490009,1757490009
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,14,4027,1757490082,1757490082
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,15,4137,1757490199,1757490199
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,16,4017,1757490330,1757490330
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,17,4123,1757490419,1757490419
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,18,4157,1757490552,1757490552
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,19,4090,1757490566,1757490566
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,20,4006,1757490655,1757490655
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,21,5161,1757490732,1757490732
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,22,5142,1757490829,1757490829
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,23,5029,1757490896,1757490896
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,24,5104,1757490924,1757490924
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,25,2995,1757491050,1757491050
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,27,5121,1757491216,1757491216
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,28,5218,1757491230,1757491230
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,29,5220,1757491413,1757491413
6416023-21_R_99_2101_09:23-SETP2025-21-Semaine-40,30,2971,1757491857,
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,0,1150,,1757493900
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,5,463,1757494519,1757494519
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,7,2656,1757494920,1757494920
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,8,15,1757494976,1757494976
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,9,1033,1757495035,1757495035
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,10,1208,1757495093,1757495093
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,11,1305,1757495219,1757495219
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,12,2910,1757495336,1757495336
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,13,1125,1757495400,1757495400
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,14,52,1757495580,1757495580
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,15,1446,1757495671,1757495671
6409576-57_A_50_5710_10:45-SETP2025-57-Semaine-06,16,1092,1757495718,1757495718
6412269-71_R_99_7101_11:47-PROJET2025-71-Semaine-80,14,1297,,1757498324
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,0,2962,,1757489580
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,1,5246,1757489970,1757489970
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,2,5020,,1757490156
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,3,5054,1757490239,1757490239
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,4,5221,1757490361,1757490361
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,5,21543,1757490480,1757490480
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,6,5250,1757490552,1757490552
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,7,5251,1757490780,1757490780
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,8,5069,1757490840,1757490840
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,9,5150,1757490893,1757490893
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,10,5115,1757490931,1757490931
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,11,5245,1757490984,1757490984
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,12,5025,1757491087,1757491087
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,13,5046,1757491202,1757491202
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,14,5082,1757491289,1757491289
6366010-20_A_50_2001_09:33-SETP2025-20-Semaine-42,15,5059,1757491320,
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,0,2909,,1757492100
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,1,1125,1757492175,1757492175
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,2,52,1757492284,1757492284
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,3,1446,,1757492400
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,4,1092,1757492448,1757492448
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,5,1296,,1757492554
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,6,1317,1757492617,1757492617
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,7,760,1757492688,1757492688
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,8,1315,1757492725,1757492725
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,9,219,1757492771,1757492771
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,10,252,1757492834,1757492834
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,11,103,1757492888,1757492888
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,12,521,1757492940,1757492940
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,13,396,1757492993,1757492993
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,14,382,1757493020,1757493020
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,15,1006,1757493127,1757493127
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,16,81,1757493220,1757493220
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,17,864,1757493252,1757493252
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,18,689,1757493322,1757493322
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,19,686,1757493360,1757493360
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,20,936,1757493401,1757493401
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,21,904,1757493463,1757493463
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,22,803,1757493481,1757493481
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,23,907,1757493540,1757493540
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,24,388,1757493561,1757493561
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,25,1274,1757493613,1757493613
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,26,221,1757493648,1757493648
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,27,143,1757493695,1757493695
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,28,1045,1757493725,1757493725
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,29,583,1757493777,1757493777
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,30,692,1757493845,1757493845
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,31,767,1757493881,1757493881
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,32,504,1757493931,1757493931
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,33,771,1757493968,1757493968
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,34,758,1757494009,1757494009
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,35,820,1757494024,1757494024
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,36,673,1757494046,1757494046
6410621-64_A_50_6403_10:15-SETP2025-64-Semaine-37,37,2904,1757494080,
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,0,4080,,1757493120
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,1,4176,1757493226,1757493226
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,2,4152,1757493357,1757493357
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,3,4037,1757493487,1757493487
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,4,4010,1757493592,1757493592
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,5,4083,1757493653,1757493653
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,6,4146,,1757493729
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,7,4113,1757493900,1757493900
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,8,4121,1757493961,1757493961
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,9,4027,1757494023,1757494023
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,10,4104,1757494061,1757494061
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,11,4246,1757494128,1757494128
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,12,4088,1757494180,1757494180
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,13,4024,1757494260,1757494260
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,14,4025,1757494265,1757494265
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,15,4042,1757494389,1757494389
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,16,4115,1757494418,1757494418
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,17,4131,1757494486,1757494486
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,18,4143,1757494540,1757494540
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,19,4056,1757494610,1757494610
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,20,5154,1757494753,1757494753
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,21,5090,1757494844,1757494844
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,22,5001,1757494920,1757494920
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,23,5225,1757495010,1757495010
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,24,5117,1757495060,1757495060
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,25,5253,1757495103,1757495103
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,26,5254,1757495197,1757495197
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,27,5227,1757495340,1757495340
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,28,5043,1757495361,1757495361
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,29,5135,1757495507,1757495507
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,30,5172,1757495550,1757495550
6369778-42_A_5_4203_10:32-PROJET2025-42-Semaine-83,31,5027,1757495580,
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,1,7014,1757488939,1757488939
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,2,6007,1757489189,1757489189
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,3,6080,1757489457,1757489457
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,4,6177,1757489549,1757489549
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,5,6091,,1757490000
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,6,6087,1757490122,1757490122
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,7,6009,1757490174,1757490174
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,8,6020,1757490300,1757490300
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,9,902,1757490363,1757490363
