trip_id,stop_sequence,stop_id,arrival_time,departure_time
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,0,8148,,1757428800
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,1,8124,1757428900,1757428900
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,2,8095,1757428985,1757428985
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,3,8138,1757429031,1757429031
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,4,8090,1757429101,1757429101
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,5,8144,1757429212,1757429212
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,6,8003,1757429220,1757429220
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,7,8070,1757429346,1757429346
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,8,8172,1757429402,1757429402
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,9,8069,1757429454,1757429454
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,10,8127,1757429532,1757429532
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,11,8001,1757429550,1757429550
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,12,8160,1757429693,1757429693
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,13,8107,1757429841,1757429841
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,14,8072,1757429854,1757429854
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,15,8129,1757430005,1757430005
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,16,8156,1757430049,1757430049
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,17,789,1757430183,1757430183
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,18,97,1757430165,1757430165
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,19,512,1757430305,1757430305
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,20,887,1757430460,1757430460
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,21,769,1757430566,1757430566
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,22,704,1757430677,1757430677
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,23,1181,1757430759,1757430759
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,24,1020,1757430749,1757430749
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,25,498,1757430818,1757430818
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,26,179,1757430988,1757430988
6429302-15_R_99_1501_16:40-SETP2025-15-Semaine-11,29,2581,1757431505,
6416309-51_A_49_5104_17:31-PROJET2025-51-Semaine-10,1,746,1757432055,1757432055
6416309-51_A_49_5104_17:31-PROJET2025-51-Semaine-10,2,617,1757432172,1757432172
6416309-51_A_49_5104_17:31-PROJET2025-51-Semaine-10,3,473,1757432259,1757432259
6416309-51_A_49_5104_17:31-PROJET2025-51-Semaine-10,4,254,1757432312,1757432312
6416309-51_A_49_5104_17:31-PROJET2025-51-Semaine-10,5,1568,1757432460,1757432460
6416309-51_A_49_5104_17:31-PROJET2025-51-Semaine-10,6,1220,1757432538,1757432538
6416309-51_A_49_5104_17:31-PROJET2025-51-Semaine-10,7,533,1757432642,1757432642
6416309-51_A_49_5104_17:31-PROJET2025-51-Semaine-10,10,971,1757432850,1757432850
4523347-88_A_49_8801_17:40-RESEAU2023-88-Semaine-83-1101100,0,2577,,1757432400
4523347-88_A_49_8801_17:40-RESEAU2023-88-Semaine-83-1101100,1,1155,1757432540,1757432540
4523347-88_A_49_8801_17:40-RESEAU2023-88-Semaine-83-1101100,2,1282,,1757432641
4523347-88_A_49_8801_17:40-RESEAU2023-88-Semaine-83-1101100,3,556,,1757432706
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,0,1138,,1757428860
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,1,1190,1757428911,1757428911
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,2,817,1757428963,1757428963
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,3,1027,1757429028,1757429028
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,4,442,1757429075,1757429075
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,5,495,1757429144,1757429144
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,6,1346,1757429253,1757429253
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,7,283,1757429335,1757429335
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,8,857,1757429460,1757429460
6413122-38_A_50_3805_16:41-SETP2025-38-Semaine-41,9,912,1757429640,1757429640
